Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group,09/05/12
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD,09/01/11
January,Economy,UK,UK,104.93,BRITISH AIRWAYS,OSCT,01/04/12
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Criminal & Detention Group,22/06/11
January,Economy,UK,UK,224.2,FLYBE BRITISH EUROPEAN,Immigration Group,07/04/12
January,Economy,UK,UK,195.43,BRITISH AIRWAYS,Finance & Commercial Group,13/09/12
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT,06/11/11
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA,26/04/11
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD,06/06/12
January,Economy,UK,UK,204.49,BRITISH AIRWAYS,Strategic Director Border,10/03/11
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group,23/10/11
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group,26/10/11
January,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,18/05/12
January,Economy,UK,UK,101.54,BRITISH AIRWAYS,Criminal & Detention Group,26/06/12
March,Economy,UK,UK,95.34,FLYBE BRITISH EUROPEAN,OSCT,03/01/11
January,Business Class,UK,Non EEA,2990.27,ETIHAD AIRWAYS,International Group,26/08/12
February,Economy,UK,UK,164.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,19/02/12
January,Economy,UK,UK,113.43,BRITISH AIRWAYS,Strategic Director Border,22/02/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group,20/02/11
March,Economy,UK,UK,151.49,BRITISH AIRWAYS,Strategy & Reform Directorate,03/10/11
January,Economy,UK,UK,119.7,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,26/11/11
January,Economy,UK,EEA,417.7,BRITISH AIRWAYS,UKBA,16/03/11
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategic Director Border,06/05/12
January,Economy,UK,UK,161.43,BRITISH AIRWAYS,Strategic Director Border,10/03/12
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group,13/08/11
January,Economy,UK,UK,208.05,FLYBE BRITISH EUROPEAN,Immigration Group,07/09/12
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group,23/02/11
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group,30/07/12
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group,17/01/12
January,Economy,UK,UK,182,BMI,Strategic Director Border,13/02/12
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group,21/07/11
February,Economy,UK,UK,81.54,BRITISH AIRWAYS,Strategy & Reform Directorate,15/01/12
January,Economy,EEA,UK,214.1,BRITISH AIRWAYS,Crime & Policing Group,29/09/12
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border,19/04/12
January,Economy,UK,UK,210.1,BMI,Strategy & Reform Directorate,14/02/12
January,Economy,UK,EEA,160.59,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border,22/09/11
January,Economy,UK,UK,139.62,BRITISH AIRWAYS,Strategic Director Border,15/06/11
January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,Resource Management Group,05/02/11
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group,12/03/11
February,Economy,UK,UK,39.7,BRITISH AIRWAYS,OSCT,14/01/11
February,Economy,UK,UK,220.5,BRITISH AIRWAYS,HMIC,23/04/12
February,Economy,UK,UK,83.2,FLYBE BRITISH EUROPEAN,OSCT,24/12/11
January,Economy,UK,UK,150.43,BRITISH AIRWAYS,Finance & Commercial Group,24/07/11
January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group,24/02/11
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group,17/10/11
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,01/02/11
January,Economy,UK,UK,247.62,BRITISH AIRWAYS,Strategic Director Border,20/07/12
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,04/02/11
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group,25/07/12
January,Economy,UK,UK,68.5,BRITISH AIRWAYS,HROD,02/05/12
January,Economy,UK,UK,85.1,BMI,Strategic Director Border,15/08/11
February,Economy,UK,UK,104.63,BRITISH AIRWAYS,Strategic Director Border,18/11/11
January,Economy,UK,EEA,430.8,BRITISH AIRWAYS,Policy & Strategy,04/07/11
January,Economy,UK,UK,270.54,BRITISH AIRWAYS,HROD,30/04/12
January,Economy,UK,UK,125.5,BRITISH AIRWAYS,OSCT,16/08/12
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border,09/09/11
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border,07/07/11
January,Economy,UK,UK,176.55,BRITISH AIRWAYS,Strategic Director Border,30/12/11
January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group,12/10/11
January,Business Class,UK,UK,189.35,BRITISH AIRWAYS,Criminal & Detention Group,08/04/12
January,Economy,UK,UK,81.55,BRITISH AIRWAYS,Strategic Director Border,20/06/11
February,Economy,UK,UK,43.7,BRITISH AIRWAYS,OSCT,31/07/11
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,Strategic Director Border,31/07/12
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA,05/05/12
February,Economy,UK,UK,20,BRITISH AIRWAYS,Strategic Director Border,13/06/11
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border,22/08/12
January,Economy,UK,UK,130.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,24/03/11
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border,08/03/11
January,Economy,UK,UK,180.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,06/04/11
January,Economy,UK,EEA,95.43,EASYJET,Crime & Policing Group,20/04/11
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group,02/01/11
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group,17/05/12
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,HROD,09/05/12
January,Economy,UK,UK,109.53,FLYBE BRITISH EUROPEAN,Strategic Director Border,22/11/11
February,Economy,UK,UK,79.5,BRITISH AIRWAYS,OSCT,27/09/12
January,Economy,UK,UK,198.55,BRITISH AIRWAYS,OSCT,02/06/12
January,Business Class,UK,UK,191.55,BRITISH AIRWAYS,Science & Research Group,14/04/12
January,Economy,UK,UK,124.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,14/12/11
January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group,05/09/12
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,13/06/12
January,Economy,UK,EEA,518.13,LUFTHANSA GERMAN AIRLINES,Science & Research Group,26/06/11
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD,21/08/11
January,Economy,UK,UK,180.48,LUFTHANSA GERMAN AIRLINES,Immigration Group,03/08/12
January,Economy,UK,UK,173.5,BMI,Strategic Director Border,09/06/12
January,Economy,UK,EEA,285.2,BRITISH AIRWAYS,Crime & Policing Group,03/05/12
January,Economy,UK,UK,158.01,FLYBE BRITISH EUROPEAN,Immigration Group,07/03/11
February,Economy,UK,UK,176.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,30/04/12
